Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Fit
58.94,98.81,5450,7.17,2,0
40.0,96.89,13797,7.37,1,0
61.95,98.58,15679,6.45,2,1
96.29,94.2,10205,8.38,2,1
47.27,95.39,3208,7.87,0,0
81.73,95.98,6051,5.22,0,0
93.34,97.22,1775,5.47,0,0
51.41,97.27,7940,7.95,0,1
101.91,98.01,2987,7.54,0,1
73.85,95.4,1748,4.83,1,0
95.37,99.15,6155,5.81,2,1
68.09,99.73,8124,6.44,2,0
40.0,99.05,1449,6.39,1,0
58.28,97.79,5643,7.85,0,1
75.21,96.05,3488,6.72,0,0
98.06,96.03,5846,6.62,0,1
74.11,99.65,2601,6.75,2,1
68.31,98.01,1058,6.46,1,0
81.27,96.07,10503,5.78,1,1
69.42,99.25,3306,8.42,2,0
84.59,99.02,4173,9.17,0,1
64.63,99.79,1520,6.87,0,0
75.17,98.1,3400,8.65,0,1
86.55,97.47,3790,6.84,0,0
64.1,98.15,1778,4.42,0,1
69.62,100.0,7137,6.95,0,0
81.78,98.19,1540,7.21,2,1
80.24,100.0,6848,6.45,0,1
67.23,100.0,6913,5.74,1,1
80.11,100.0,2157,7.08,2,0
40.0,100.0,8043,7.79,1,0
87.53,100.0,4441,8.53,0,0
88.44,100.0,5244,7.98,0,1
74.14,95.06,9359,7.65,1,0
61.35,100.0,1999,5.92,2,0
63.68,97.37,1889,5.02,1,0
79.62,98.89,10415,8.28,0,1
87.14,97.71,3437,5.95,2,1
93.73,99.41,3740,5.38,0,0
86.03,95.91,3749,6.4,0,0
85.49,93.73,8589,7.64,2,1
76.3,98.38,5985,6.94,0,1
82.57,95.55,10291,9.34,1,0
77.96,95.01,2676,6.76,0,1
90.76,94.86,6851,6.24,0,0
70.81,97.22,15182,8.76,2,0
92.67,95.08,8627,5.88,2,0
68.1,100.0,8808,6.86,0,0
60.83,96.92,11060,6.83,0,0
63.78,95.87,2193,6.19,2,1
86.23,100.0,3771,6.77,1,0
61.68,99.63,2583,5.97,0,1
77.31,95.86,4129,5.71,1,0
91.92,100.0,13212,5.16,1,0
84.55,98.06,11089,6.44,1,1
92.85,98.27,4115,5.79,1,0
62.48,99.98,12862,4.55,0,1
78.18,97.92,2594,6.64,2,1
69.24,100.0,4375,6.05,1,0
75.21,100.0,3124,4.23,1,0
89.12,98.59,8698,5.19,1,0
73.16,96.82,12463,7.15,0,0
59.55,92.95,3772,3.88,2,0
103.59,100.0,4440,3.03,1,1
81.28,100.0,19406,7.4,1,0
76.85,96.88,3556,5.19,2,0
87.21,97.61,12948,6.15,0,0
79.84,97.25,1897,5.87,1,0
88.77,94.74,7069,5.74,2,1
96.06,96.48,7287,7.23,2,0
78.05,99.5,6568,9.22,0,1
96.09,100.0,4086,7.29,2,0
59.07,98.92,3945,6.18,1,1
56.23,98.58,1129,5.32,2,1
90.92,98.67,2125,5.89,0,0
86.96,98.98,4677,7.09,2,1
66.12,95.6,1094,8.28,2,0
40.0,95.11,10975,8.35,1,0
44.44,100.0,2716,6.78,1,1
53.32,95.17,18510,7.36,2,0
75.21,99.15,5964,6.57,0,0
78.45,98.51,2445,6.6,1,1
75.21,98.28,3039,5.21,0,1
79.86,98.24,2899,5.17,1,1
76.96,98.62,1392,5.46,0,0
68.49,97.94,1095,6.86,1,1
71.65,96.8,4586,6.04,0,1
65.22,97.55,2205,10.37,2,0
48.69,99.05,1707,8.86,0,1
79.73,99.0,5148,8.73,2,1
73.52,100.0,2078,7.14,0,1
87.62,99.22,1900,6.44,0,1
70.45,97.62,6785,5.15,2,0
84.03,98.97,8185,5.6,1,0
83.28,97.36,1932,7.76,1,1
72.91,96.66,4472,6.9,1,1
80.29,93.22,10124,5.54,2,1
54.86,98.78,8196,6.19,2,0
