User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4174,58.94,98.81,5450,7.17,highly active,1
2294,40.0,96.89,13797,7.37,active,3
2130,61.95,98.58,15679,6.45,highly active,6
2095,96.29,94.2,10205,8.38,highly active,10
4772,47.27,95.39,3208,7.87,sedentary,2
4092,81.73,95.98,6051,5.22,sedentary,1
3979,93.34,97.22,1775,5.47,sedentary,1
3169,51.41,97.27,7940,7.95,sedentary,8
1466,101.91,98.01,2987,7.54,sedentary,9
2238,73.85,95.4,1748,4.83,active,1
1330,95.37,99.15,6155,5.81,highly active,10
2482,79.06,99.01,829,6.27,sedentary,9
3135,68.09,99.73,8124,6.44,highly active,5
4444,40.0,99.05,1449,6.39,active,2
4171,58.28,97.79,5643,7.85,sedentary,10
3919,75.21,96.05,3488,6.72,sedentary,4
4735,98.06,96.03,5846,6.62,sedentary,9
2685,74.11,99.65,2601,6.75,highly active,9
4380,68.31,98.01,1058,6.46,active,3
1769,81.27,96.07,10503,5.78,active,9
3391,76.33,98.76,508,4.77,sedentary,9
2515,69.42,99.25,3306,8.42,highly active,1
4485,84.59,99.02,4173,9.17,sedentary,9
3853,64.63,99.79,1520,6.87,sedentary,2
3433,75.17,98.1,3400,8.65,sedentary,10
2215,86.55,97.47,3790,6.84,sedentary,1
1955,64.1,98.15,1778,4.42,sedentary,7
3324,69.62,100.0,7137,6.95,sedentary,2
2184,66.63,99.52,219,5.99,sedentary,6
1459,81.78,98.19,1540,7.21,highly active,10
4385,80.24,100.0,6848,6.45,sedentary,6
1021,67.23,100.0,6913,5.74,active,10
3300,80.11,100.0,2157,7.08,highly active,4
1747,40.0,100.0,8043,7.79,active,5
3904,87.53,100.0,4441,8.53,sedentary,5
4632,88.44,100.0,5244,7.98,sedentary,6
3558,74.14,95.06,9359,7.65,active,4
4753,61.35,100.0,1999,5.92,highly active,2
3047,63.68,97.37,1889,5.02,active,2
4547,79.62,98.89,10415,8.28,sedentary,9
3747,87.14,97.71,3437,5.95,highly active,9
1975,79.77,100.0,671,8.95,highly active,2
1189,93.73,99.41,3740,5.38,sedentary,3
4005,86.03,95.91,3749,6.4,sedentary,3
3734,85.49,93.73,8589,7.64,highly active,7
4005,76.3,98.38,5985,6.94,sedentary,8
1562,82.57,95.55,10291,9.34,active,1
2899,77.96,95.01,2676,6.76,sedentary,6
4638,90.76,94.86,6851,6.24,sedentary,4
2267,70.81,97.22,15182,8.76,highly active,4
3879,70.01,99.87,502,7.39,highly active,10
2528,92.67,95.08,8627,5.88,highly active,2
4202,68.1,100.0,8808,6.86,sedentary,4
4556,60.83,96.92,11060,6.83,sedentary,1
4890,63.78,95.87,2193,6.19,highly active,6
1646,86.23,100.0,3771,6.77,active,5
3888,61.68,99.63,2583,5.97,sedentary,8
2297,77.31,95.86,4129,5.71,active,2
3435,91.92,100.0,13212,5.16,active,1
1600,84.55,98.06,11089,6.44,active,8
3363,92.85,98.27,4115,5.79,active,1
4060,62.48,99.98,12862,4.55,sedentary,6
3824,78.18,97.92,2594,6.64,highly active,10
4417,82.01,97.09,547,6.97,highly active,5
3612,69.24,100.0,4375,6.05,active,2
3945,75.21,100.0,3124,4.23,active,1
2363,89.12,98.59,8698,5.19,active,2
3139,43.74,95.37,139,6.02,sedentary,3
2390,73.16,96.82,12463,7.15,sedentary,5
4003,59.55,92.95,3772,3.88,highly active,2
2478,103.59,100.0,4440,3.03,active,7
3556,81.28,100.0,19406,7.4,active,2
1775,76.85,96.88,3556,5.19,highly active,1
1034,87.21,97.61,12948,6.15,sedentary,5
3253,79.84,97.25,1897,5.87,active,4
4152,106.04,94.81,711,6.93,sedentary,10
2955,88.77,94.74,7069,5.74,highly active,7
4943,96.06,96.48,7287,7.23,highly active,1
4459,78.05,99.5,6568,9.22,sedentary,9
4073,96.09,100.0,4086,7.29,highly active,2
4461,59.07,98.92,3945,6.18,active,9
3613,56.23,98.58,1129,5.32,highly active,8
2129,90.92,98.67,2125,5.89,sedentary,4
4843,86.96,98.98,4677,7.09,highly active,8
4893,66.12,95.6,1094,8.28,highly active,2
2500,40.0,95.11,10975,8.35,active,4
1702,91.5,97.93,81,6.76,active,6
3449,44.44,100.0,2716,6.78,active,6
2579,53.32,95.17,18510,7.36,highly active,2
1161,75.21,99.15,5964,6.57,sedentary,2
1201,78.45,98.51,2445,6.6,active,6
2981,75.21,98.28,3039,5.21,sedentary,6
1995,79.86,98.24,2899,5.17,active,9
3317,76.96,98.62,1392,5.46,sedentary,5
4934,68.49,97.94,1095,6.86,active,9
1815,71.65,96.8,4586,6.04,sedentary,9
4342,65.22,97.55,2205,10.37,highly active,4
1455,76.74,94.3,674,7.08,highly active,10
4533,48.69,99.05,1707,8.86,sedentary,8
4798,79.73,99.0,5148,8.73,highly active,10
2275,73.52,100.0,2078,7.14,sedentary,9
2016,87.62,99.22,1900,6.44,sedentary,9
4773,70.45,97.62,6785,5.15,highly active,3
3343,84.03,98.97,8185,5.6,active,1
4796,83.28,97.36,1932,7.76,active,6
3767,72.91,96.66,4472,6.9,active,6
4820,80.29,93.22,10124,5.54,highly active,10
1337,54.86,98.78,8196,6.19,highly active,4
1878,95.12,99.0,502,6.99,sedentary,9
1791,72.33,100.0,8993,6.14,active,3
4993,59.21,98.69,1384,6.42,active,2
3264,63.48,95.51,1526,2.88,active,10
1763,99.65,95.6,6963,6.53,active,7
3235,77.07,98.44,2336,4.91,active,2
1379,70.55,99.79,2738,7.05,sedentary,1
1492,70.46,99.92,5178,6.7,highly active,4
4112,75.03,97.13,9720,7.62,sedentary,2
2180,85.84,93.8,4828,7.64,highly active,10
3062,77.91,98.01,15672,9.08,sedentary,10
4884,78.23,98.01,789,3.53,sedentary,3
1064,61.15,98.67,9821,6.31,active,6
4928,70.59,97.47,4977,3.44,highly active,6
4910,77.35,97.4,11875,7.24,sedentary,9
3568,74.53,98.96,2662,6.25,sedentary,7
2367,68.76,97.28,4605,5.79,active,4
2152,67.39,100.0,12144,6.9,active,4
3027,81.53,97.62,12477,4.92,active,10
2495,89.84,92.91,12089,6.13,active,7
4134,77.94,99.07,8028,6.61,sedentary,5
2162,43.86,99.27,3686,6.31,sedentary,9
3640,74.87,95.38,219,4.7,highly active,6
1391,68.85,96.23,3376,7.74,highly active,7
2698,74.13,100.0,2566,5.72,active,10
1418,69.06,97.63,19215,5.74,sedentary,2
3336,62.72,96.76,733,7.82,highly active,9
1378,84.22,100.0,6922,6.1,active,10
2796,72.77,95.94,8826,7.42,sedentary,8
4561,73.66,97.17,1424,7.45,highly active,5
3278,40.0,100.0,1137,5.98,highly active,8
4065,71.6,100.0,343,6.85,highly active,4
3088,58.85,100.0,1211,5.77,sedentary,7
4099,75.21,99.48,11559,6.47,highly active,7
3182,78.54,100.0,20171,7.21,active,5
1200,65.8,99.88,16218,5.06,highly active,2
3996,67.87,98.66,3182,7.16,active,9
3977,67.4,97.39,12283,4.27,sedentary,4
4104,59.17,95.52,11717,5.38,active,6
4119,49.18,93.57,453,5.46,sedentary,3
1502,80.05,99.91,1692,5.83,active,4
3454,67.25,97.8,19571,5.07,highly active,3
4645,50.02,96.29,9426,7.91,active,9
1804,80.07,100.0,5052,5.32,sedentary,8
3146,57.18,97.69,3495,4.77,highly active,4
3731,64.43,99.14,7373,6.48,active,1
2895,90.7,97.95,4481,6.45,sedentary,7
3773,75.21,97.27,3276,9.73,active,4
2570,68.72,100.0,2992,5.49,highly active,4
1960,86.26,98.54,1203,3.09,sedentary,3
4810,72.48,95.5,5276,4.27,sedentary,7
3660,93.45,98.73,5135,3.83,sedentary,2
2485,68.81,99.27,6254,7.13,sedentary,9
3690,66.44,100.0,864,6.65,active,7
4840,75.25,98.58,17249,6.83,sedentary,1
2028,89.47,98.12,9485,8.19,active,3
4289,78.74,99.03,982,8.94,sedentary,10
1502,76.55,95.89,578,7.76,highly active,10
3814,62.89,100.0,7208,7.6,highly active,2
1397,60.69,100.0,2924,4.29,highly active,4
1870,89.49,98.01,2689,5.74,sedentary,6
3842,91.06,98.63,12827,8.58,highly active,4
1392,90.58,95.25,2963,5.68,highly active,3
1206,86.87,98.06,7001,8.16,active,2
2038,81.7,99.0,5391,6.69,active,4
2881,81.47,95.95,2135,7.67,active,2
4625,77.0,96.91,2820,5.19,highly active,6
3939,83.43,97.03,20076,7.64,sedentary,10
2484,74.37,96.75,2817,5.54,sedentary,5
4762,75.21,100.0,10727,6.85,highly active,4
4646,88.76,97.67,13826,6.46,highly active,3
1863,56.13,100.0,515,8.29,sedentary,3
3790,91.44,97.03,7615,7.75,sedentary,2
4312,74.13,97.31,9683,3.85,highly active,7
1563,96.87,98.09,3984,5.28,active,9
2020,94.06,98.41,5896,5.55,sedentary,1
1095,59.54,95.9,1235,7.54,sedentary,9
2923,75.21,98.71,4977,5.76,highly active,8
2757,47.01,95.78,8609,4.87,sedentary,10
3532,69.21,100.0,6459,4.45,highly active,1
4478,80.34,96.93,1026,7.59,highly active,1
3796,76.04,96.88,19440,8.08,sedentary,7
2678,81.64,100.0,1776,4.57,active,9
4242,64.46,97.05,14562,5.83,sedentary,10
1540,74.71,97.89,2175,4.75,highly active,6
2059,66.15,97.52,5806,5.12,highly active,5
3572,79.24,97.41,10664,6.16,active,2
2183,95.85,95.06,2952,6.45,sedentary,7
4910,74.15,96.55,5670,4.18,highly active,1
2722,54.43,98.7,4189,5.89,highly active,4
4314,77.94,99.09,9995,6.65,highly active,5
4157,85.58,95.73,4559,7.2,highly active,6
2819,61.23,96.69,5857,3.44,active,1
3625,93.63,97.84,13075,5.78,highly active,9
3729,66.05,98.16,8396,3.42,highly active,9
3604,63.6,98.77,5248,5.74,active,4
2597,48.29,100.0,4330,5.85,sedentary,1
4060,79.03,98.67,948,7.44,sedentary,8
3693,102.24,95.99,406,7.96,highly active,8
2051,63.99,99.96,1445,6.94,highly active,10
2643,82.7,94.84,2269,7.48,active,3
4627,87.01,98.94,6608,5.38,sedentary,2
2363,92.41,100.0,12318,7.66,highly active,7
4869,56.48,96.7,12534,6.7,sedentary,10
2981,98.3,99.39,12389,6.09,active,7
2663,101.3,97.41,401,4.13,active,9
2529,77.33,96.24,3574,6.71,active,7
3038,83.65,99.25,17140,5.23,sedentary,8
4419,60.77,99.53,4409,6.54,active,6
2496,89.77,98.84,14351,5.89,sedentary,1
4302,58.85,99.19,124,6.93,highly active,9
3237,79.03,99.45,4913,8.29,sedentary,7
4296,68.54,100.0,17898,6.69,highly active,10
2408,73.68,96.85,2119,8.0,sedentary,8
2400,91.28,92.94,18580,4.97,active,2
2306,69.67,97.18,59,8.65,sedentary,7
3680,91.59,97.2,575,4.98,highly active,10
1972,76.96,98.01,787,6.09,active,3
2768,107.25,98.54,1789,5.83,highly active,4
2282,76.83,100.0,2472,4.13,sedentary,10
4430,73.86,98.03,4597,4.81,active,9
2479,70.05,96.58,17870,4.47,highly active,5
2434,75.21,99.44,15201,5.51,active,10
1648,105.89,97.82,9650,8.73,active,10
1317,68.91,96.87,7537,7.57,highly active,3
4748,52.16,98.12,1600,6.99,highly active,6
4296,72.67,99.68,6446,9.75,highly active,5
4890,80.35,97.78,1113,3.81,highly active,6
2257,71.88,97.67,4219,6.4,active,4
1683,74.27,97.91,4333,9.55,sedentary,9
2998,81.38,98.41,12618,5.26,active,8
4898,87.28,98.39,2704,7.73,highly active,5
4445,72.11,95.56,294,5.66,sedentary,9
4743,113.84,97.71,336,8.39,sedentary,10
2631,75.21,100.0,14546,7.75,highly active,3
2495,74.92,99.16,4663,6.21,highly active,6
4304,55.22,100.0,1995,7.97,highly active,3
4763,76.71,98.83,229,6.15,highly active,7
2136,87.21,98.44,5266,6.7,highly active,1
2853,87.32,100.0,1032,7.38,sedentary,6
2520,75.21,97.12,3777,5.92,sedentary,4
3489,76.73,97.0,5080,8.77,active,2
1563,67.79,100.0,1822,6.6,sedentary,6
2291,97.46,99.81,1551,6.93,sedentary,1
4581,76.86,97.44,140,4.53,highly active,4
4878,40.74,96.73,6165,5.53,active,1
4457,80.52,95.94,1565,6.74,highly active,8
4458,45.75,97.36,14739,7.8,highly active,3
4184,81.75,99.85,6480,8.62,highly active,2
2636,113.81,93.65,5690,4.91,active,8
4696,95.41,100.0,4917,5.26,sedentary,6
3999,75.21,99.42,1697,4.66,sedentary,7
3160,84.54,96.99,2712,6.26,sedentary,1
2781,71.0,96.19,10479,6.59,highly active,8
1641,66.92,98.58,888,6.7,highly active,5
3267,61.4,99.08,10615,5.8,active,6
2589,80.62,99.54,2361,4.67,sedentary,2
1854,68.75,94.43,2388,8.09,sedentary,6
2759,77.52,97.11,4954,6.73,sedentary,6
4296,88.92,99.24,3486,5.68,sedentary,9
4474,84.68,98.5,6293,6.5,active,8
2661,93.33,100.0,1684,3.93,active,3
2153,80.93,98.39,4114,7.48,active,4
2076,85.49,99.06,1838,3.74,highly active,10
2707,81.04,96.33,13643,7.2,highly active,8
3777,75.24,99.45,2887,7.16,highly active,10
2695,87.56,95.39,15293,8.57,active,10
2733,99.14,95.95,2762,5.0,active,3
2439,87.82,96.46,1384,6.06,sedentary,8
3294,75.21,100.0,6016,6.4,active,3
1835,72.49,97.29,5669,7.8,sedentary,8
4510,73.05,98.9,6753,7.15,highly active,2
1202,89.21,99.12,2518,7.28,highly active,1
4255,67.11,99.06,2699,8.33,active,3
1122,59.63,95.98,1897,6.17,active,8
1400,82.03,98.74,18456,8.69,sedentary,6
1766,75.32,96.06,8041,6.37,sedentary,4
3327,41.15,100.0,1511,5.76,sedentary,9
4908,78.12,97.5,7584,7.39,highly active,5
3931,68.94,97.61,10067,8.24,sedentary,5
4681,87.15,100.0,2934,4.88,highly active,1
1197,70.8,99.68,1201,7.92,sedentary,7
2930,89.04,98.72,6611,9.56,active,7
4582,94.18,99.18,5999,6.1,highly active,9
