TotalSteps,VeryActiveMinutes,Calories,Fit
11004,33,1819,0
17609,89,2154,1
12736,56,1944,0
13231,39,1932,0
12041,28,1886,0
10970,30,1820,0
12256,33,1889,0
12262,47,1868,0
11248,40,1843,0
10016,15,1850,0
14557,43,2030,0
14844,36,2083,1
11974,27,1861,0
10198,17,1755,0
12521,46,1895,0
12432,32,1883,0
10057,44,1755,0
10990,26,1811,0
224,0,50,0
1810,0,1373,0
815,0,1264,0
1985,0,1350,0
1905,0,1342,0
1552,0,1300,0
1675,0,1313,0
4506,7,1498,0
9218,0,1541,0
1556,0,1327,0
2910,0,1452,0
18464,0,1574,0
1335,0,1308,0
1004,0,1276,0
1111,0,1278,0
6344,0,1409,0
3572,0,1370,0
3910,7,1555,0
10000,0,1469,0
6627,0,706,0
4636,0,3323,0
20237,34,4029,1
12912,59,3436,1
2819,4,2444,0
9921,5,3098,1
8046,18,2925,1
11166,3,3202,1
7842,7,2928,1
13840,18,3290,1
1329,0,489,0
6847,9,1969,0
5367,0,1889,0
2841,0,1636,0
0,0,1347,0
0,0,1347,0
7,0,1349,0
6344,0,1965,0
5316,0,1824,0
4979,0,1807,0
6556,0,1971,0
5430,0,1888,0
0,0,399,0
4317,0,2590,0
5662,0,2783,1
3198,0,2449,0
2352,0,2380,0
2234,0,2344,0
1259,0,2202,0
768,0,2130,0
519,0,2088,0
2523,0,2443,0
2105,0,2442,0
1209,0,2255,0
24,0,942,0
13603,72,2645,1
5477,0,2040,0
11144,25,2395,1
15313,62,2581,1
10805,36,2735,1
15392,47,2733,1
18247,72,3021,1
13023,40,2577,1
16267,44,2811,1
10005,1,2458,1
10106,41,2568,1
6717,41,1140,0
2605,0,1407,0
1229,0,1237,0
2308,0,1330,0
6679,0,1583,0
5645,0,1538,0
3180,0,1421,0
2767,0,1392,0
3762,0,1425,0
3098,0,1413,0
5142,0,1515,0
3279,0,1405,0
1019,0,600,0
0,0,1324,0
0,0,1324,0
0,0,1324,0
0,0,1324,0
4931,0,1708,0
6999,0,1950,0
1846,0,1508,0
3417,0,1625,0
4863,1,1772,0
2277,0,1530,0
11230,10,2206,1
2098,0,790,0
10272,2,2041,0
10533,21,2187,1
6760,0,1929,0
8328,0,1935,0
15459,51,2438,1
7485,0,2035,0
10254,21,2099,1
10114,18,2096,1
11107,14,2058,0
10320,15,2338,1
10209,2,2104,1
16081,16,2488,1
10078,12,2164,1
10001,5,2009,0
0,0,399,0
890,0,1335,0
2214,0,1559,0
7640,3,1845,0
9713,6,2046,0
8432,0,1953,0
7350,0,1910,0
9353,5,2035,0
7157,0,1944,0
14103,46,2257,1
5290,1,1724,0
7497,0,1741,0
0,0,1920,0
0,0,1920,0
0,0,1920,0
0,0,4562,0
4126,0,2881,0
0,0,1920,0
0,0,1920,0
2063,0,1144,0
5785,0,1852,0
7625,24,2069,1
4706,0,1816,0
5861,20,1878,0
4460,0,1787,0
6406,17,2010,0
7392,14,2038,0
5551,0,1815,0
8827,21,2062,0
4662,22,1276,0
4499,0,1288,0
7618,0,1490,0
11508,29,1630,0
11943,16,1648,0
12303,26,1649,0
15425,24,1783,0
8422,0,1431,0
10226,0,1524,0
14583,35,1697,0
3573,15,1232,0
3108,1,1223,0
759,0,182,0
5543,0,2990,1
3226,0,2480,0
3023,0,2570,0
5906,0,3016,1
12483,25,3830,1
8940,0,3706,1
368,0,2024,0
5702,0,2980,1
10330,0,3728,1
8778,0,3348,1
